,ReportDate,Year,Month,Day,Hour,Minute,Second,VolumetricFlowGPreviousRate_SCFM,VolumetricFlowGCurrentRate_SCFM,VolumetricFlowLPreviousRate_bbl_hr,VolumetricFlowLCurrentRate_bbl_hr,VolumetricFlowGAppPreviousRate_SCFM,VolumetricFlowGAppCurrentRate_SCFM
0,2024-06-24 21:54:19,2024,6,24,21,54,19,19244.49,10288.1,282.96,124.17,19973.9,10607.76
1,2024-06-24 20:56:07,2024,6,24,20,56,7,19244.49,9517.9,282.96,114.95,19973.9,9813.87
2,2024-06-24 19:55:11,2024,6,24,19,55,11,19244.49,8709.32,282.96,105.72,19973.9,8981.49
3,2024-06-24 18:54:06,2024,6,24,18,54,6,19244.49,7896.98,282.96,96.84,19973.9,8146.31
4,2024-06-24 17:54:39,2024,6,24,17,54,39,19244.49,7106.64,282.96,87.89,19973.9,7332.91
5,2024-06-24 16:53:54,2024,6,24,16,53,54,19244.49,6299.68,282.96,78.24,19973.9,6501.09
6,2024-06-24 16:38:10,2024,6,24,16,38,10,19244.49,6090.3,282.96,75.86,19973.9,6285.6
7,2024-06-24 16:38:06,2024,6,24,16,38,6,19244.49,6089.17,282.96,75.86,19973.9,6284.46
8,2024-06-24 16:35:19,2024,6,24,16,35,19,19244.49,6052.14,282.96,75.46,19973.9,6246.41
9,2024-06-24 16:35:13,2024,6,24,16,35,13,19244.49,6051.03,282.96,75.45,19973.9,6245.27
10,2024-06-24 16:31:40,2024,6,24,16,31,40,19244.49,6004.05,282.96,74.77,19973.9,6196.53
11,2024-06-24 13:58:39,2024,6,24,13,58,39,19244.49,3965.61,282.96,50.75,19973.9,4096.29
12,2024-06-24 11:56:54,2024,6,24,11,56,54,19244.49,2343.47,282.96,30.58,19973.9,2422.18
13,2024-06-24 10:56:20,2024,6,24,10,56,20,19244.49,1536.82,282.96,20.49,19973.9,1589.51
14,2024-06-24 06:56:52,2024,6,24,6,56,52,19372.34,17593.85,332.14,260.89,20233.17,18266.45
15,2024-06-23 19:56:34,2024,6,23,19,56,34,19372.34,8775.44,332.14,139.9,20233.17,9136.16
16,2024-06-23 18:59:01,2024,6,23,18,59,1,19372.34,8005.3,332.14,128.47,20233.17,8336.53
17,2024-06-23 17:55:19,2024,6,23,17,55,19,19372.34,7154.47,332.14,115.28,20233.17,7451.68
18,2024-06-23 16:55:14,2024,6,23,16,55,14,19372.34,6351.6,332.14,103.02,20233.17,6617.19
19,2024-06-23 15:54:13,2024,6,23,15,54,13,19372.34,5537.11,332.14,89.91,20233.17,5768.91
20,2024-06-23 14:56:34,2024,6,23,14,56,34,19372.34,4765.11,332.14,77.96,20233.17,4966.13
21,2024-06-23 13:56:13,2024,6,23,13,56,13,19372.34,3957.5,332.14,64.94,20233.17,4124.97
22,2024-06-23 11:55:14,2024,6,23,11,55,14,19372.34,2336.63,332.14,38.95,20233.17,2437.05
23,2024-06-23 10:54:43,2024,6,23,10,54,43,19372.34,1525.41,332.14,25.76,20233.17,1591.76
24,2024-06-23 09:54:26,2024,6,23,9,54,26,19372.34,719.43,332.14,11.93,20233.17,750.22
25,2024-06-23 08:54:31,2024,6,23,8,54,31,19294.52,19288.5,424.34,330.66,20392.21,20145.52
26,2024-06-23 07:56:48,2024,6,23,7,56,48,19294.52,18514.29,424.34,317.36,20392.21,19337.03
27,2024-06-22 23:56:43,2024,6,22,23,56,43,19294.52,12059.3,424.34,215.13,20392.21,12616.95
28,2024-06-22 21:53:48,2024,6,22,21,53,48,19294.52,10403.7,424.34,186.92,20392.21,10888.18
29,2024-06-22 19:54:10,2024,6,22,19,54,10,19294.52,8807.81,424.34,160.37,20392.21,9223.62
30,2024-06-22 15:58:45,2024,6,22,15,58,45,19294.52,5635.09,424.34,106.6,20392.21,5911.43
31,2024-06-22 13:57:49,2024,6,22,13,57,49,19294.52,4003.5,424.34,76.22,20392.21,4201.09
32,2024-06-22 11:58:25,2024,6,22,11,58,25,19294.52,2391.86,424.34,46.43,20392.21,2512.14
33,2024-06-22 10:53:54,2024,6,22,10,53,54,19294.52,1522.53,424.34,29.82,20392.21,1599.8
34,2024-06-22 09:57:36,2024,6,22,9,57,36,19294.52,765.91,424.34,14.68,20392.21,803.94
35,2024-06-22 08:55:04,2024,6,22,8,55,4,18860.01,19216.84,452.9,422.91,20024.54,20310.81
36,2024-06-22 07:56:49,2024,6,22,7,56,49,18860.01,18435.0,452.9,407.07,20024.54,19487.92
37,2024-06-22 06:55:54,2024,6,22,6,55,54,18860.01,17618.22,452.9,390.45,20024.54,18628.03
38,2024-06-22 05:54:23,2024,6,22,5,54,23,18860.01,16792.79,452.9,373.65,20024.54,17759.11
39,2024-06-22 00:54:47,2024,6,22,0,54,47,18860.01,12769.83,452.9,290.59,20024.54,13521.02
40,2024-06-21 20:54:28,2024,6,21,20,54,28,18860.01,9535.92,452.9,222.11,20024.54,10109.61
